sales,ratio
703.07,0.05
1.73,0.14
115.07,0.058
44.17,0.072
1187.33,0.051
172.9,0.018
117.17,0.04
41.5,0.138
693.5,0.015
344.3,0.054
53.17,0.034
417.7,0.032
172.5,0.015
62.07,0.036
12.57,0.035
23.1,0.095
505.53,0.016
3446.3,0.018
100.27,0.017
606.67,0.028
77.3,0.029
5460.2,0.004
118.47,0.018
374.63,0.056
6630.9,0.006
54.13,0.095
5.47,0.079
37.83,0.095
1160.73,0.01
189.4,0.026
147.97,0.02
30.57,0.048
783.47,0.021
1356.03,0.109
3004.23,0.009
11.5,0.049
23314.4,0.022
1321.8,0.017
16.4,0.109
156,0.012
7960.23,0.01
7443.7,0.015
113.9,0.098
1029.5,0.008
3.1,0.073
85.57,0.025
7079.23,0.01
94.33,0.034
210.83,0.014
39.47,0.11
233.7,0.123
572.5,0.01
943.5,0.021
7.3,0.121
14.97,0.021
45.4,0.049
5318.53,0.015
2525.4,0.006
3147.67,0.078
3171.93,0.012
11703.3,0.037
101.43,0.026
375.93,0.027
42.3,0.053
10798.07,0.02
1678.1,0.027
451.47,0.077
2.7,0.069
1223.37,0.038
10.33,0.042
295.9,0.027
126.4,0.018
84346.37,0.002
581.3,0.031
186.47,0.157
321.4,0.031
7501.13,0.018
39.9,0.124
11921.6,0.029
972.1,0.057
631.23,0.043
1292.8,0.023
78.63,0.057
1.5,0.18
145.8,0.019
23.3,0.036
277.9,0.024
498882.2,0.013
1153.67,0.009
946.63,0.048
1.9,0.076
242.97,0.061
1178.9,0.008
25807.8,0.003
682.2,0.05
5510.17,0.027
248.1,0.092
326.57,0.088
243.33,0.026
6061.13,0.075
25.5,0.082
2954.6,0.019
578.7,0.025
13.5,0.027
116.6,0.022
189.83,0.015
8834.17,0.04
80.5,0.068
1053.63,0.019
7658.8,
168.93,0.014
1191.03,0.012
102.57,0.008
1786.8,0.015
49.5,0.027
636.33,0.01
3310.33,0.005
3839.8,0.003
5847.77,0.01
22.53,0.082
1133.5,0.087
3484.13,0.053
12610.37,0.029
24,0.081
947.8,0.051
1083.17,0.015
109.47,0.041
14.53,0.083
995.33,0.019
102.5,0.028
240.03,0.018
2145,0.032
58.93,0.163
24.77,0.069
634.83,0.049
1968.67,0.076
417.6,0.024
2547.97,0.023
670.87,0.013
79.27,0.044
1043.23,0.067
30940.87,0.006
589.93,0.054
235.93,0.024
111.97,0.042
565.17,0.056
104.07,0.044
467.67,0.008
29.53,0.034
13180.43,0.005
65.27,0.042
175.9,0.085
14.37,0.069
2416.9,0.007
303.9,0.022
4186.1,0.004
4887.27,0.006
48.47,0.029
1212.5,0.016
58.83,0.019
4518.67,0.024
53.8,0.03
5.57,0.078
4950.7,0.011
1626.8,0.034
168.17,0.078
183.8,0.066
1745.97,0.056
108.47,0.072
